,0
719,1911
720,1912
721,1913
722,1914
723,1915
724,1922
725,1924
726,1925
727,1926
728,1927
729,1932
730,1936
731,1937
732,1938
733,1939
734,1940
735,1941
736,1942
737,1943
738,1944
739,1945
740,1946
741,1947
742,1948
743,1949
744,1950
745,1951
746,1953
747,1955
748,1958
749,1959
750,1960
751,1961
752,1963
753,1964
754,1969
755,1985
756,1987
757,1990
758,1999
759,2000
760,2001
761,2002
762,2003
763,2004
764,2005
765,2006
766,2007
767,2008
768,2009
769,2010
770,2011
771,2012
772,2013
773,2014
774,2015
775,2016
776,2017
777,2018
778,2020
779,2021
780,2022
781,2024
782,2025
783,2026
784,2028
785,2032
786,2042
787,2055
788,2058
789,2064
790,2065
791,2072
792,2086
793,2088
794,2093
795,2118
796,2119
797,2120
798,2121
799,2122
800,2123
801,2124
802,2125
803,2126
804,2127
805,2128
806,2129
807,2130
808,2131
809,2132
810,2133
811,2134
812,2135
813,2136
814,2137
815,2138
816,2139
817,2140
818,2141
819,2142
820,2143
821,2144
822,2145
823,2146
824,2147
825,2150
826,2159
827,2160
828,2161
829,2162
830,2163
831,2164
832,2165
833,2166
834,2167
835,2168
836,2169
837,2170
838,2171
839,2172
840,2173
841,2174
842,2181
843,2188
844,2189
845,2190
846,2193
847,2194
848,2195
849,2197
850,2198
851,2203
852,2205
853,2207
854,2215
855,2222
856,2237
857,2238
858,2249
859,2252
860,2255
861,2260
862,2261
863,2262
864,2263
865,2264
866,2265
867,2266
868,2267
869,2268
870,2269
871,2270
872,2271
873,2272
874,2273
875,2274
876,2275
877,2276
878,2277
879,2278
880,2279
881,2280
882,2281
883,2282
884,2283
885,2284
886,2285
887,2286
888,2287
889,2288
890,2305
891,2306
892,2307
893,2309
894,2310
895,2320
896,2321
897,2322
898,2323
899,2324
900,2332
901,2333
902,2336
903,2337
904,2341
905,2343
906,2344
907,2345
908,2346
909,2350
910,2351
911,2356
912,2357
913,2370
914,2371
915,2372
916,2373
917,2374
918,2375
919,2376
920,2378
921,2379
922,2380
923,2381
924,2382
925,2383
926,2384
927,2385
928,2386
929,2387
930,2388
931,2389
932,2390
933,2391
934,2392
935,2393
936,2394
937,2395
938,2396
939,2397
940,2398
941,2399
942,2400
943,2401
944,2402
945,2403
946,2404
947,2405
948,2406
949,2407
950,2408
951,2409
952,2410
953,2414
954,2422
955,2423
956,2424
957,2425
958,2426
959,2427
960,2428
961,2429
962,2430
963,2431
964,2433
965,2472
966,2475
967,2476
968,2478
969,2480
970,2481
971,2482
972,2483
973,2484
974,2485
975,2486
976,2487
977,2488
978,2489
979,2490
980,2500
981,2501
982,2507
983,2510
984,2511
985,2512
986,2513
987,2514
988,2518
989,2520
990,2523
991,2533
992,2534
993,2535
994,2536
995,2537
996,2538
997,2539
998,2540
999,2541
1000,2542
1001,2543
1002,2544
1003,2545
1004,2558
1005,2562
1006,2563
1007,2564
1008,2565
1009,2566
1010,2567
1011,2569
1012,2570
1013,2572
1014,2573
1015,2574
1016,2575
1017,2577
1018,2579
1019,2580
